District,Name,Location,Phone,Lat,Lon
Gaibandha,Gaibandha District Sadar Hospital,Gaibandha,0541-61455,25.3283,89.5422
Sherpur,Sherpur District Sadar Hospital,Sherpur,0931-61455,25.0194,90.0175
Netrokona,Netrokona District Sadar Hospital,Netrokona,0951-61455,24.8833,90.7250
Kishoreganj,Shaheed Syed Nazrul Islam Medical College,Kishoreganj,0941-61900,24.4331,90.7695
Bhola,Bhola 250 Bed General Hospital,Bhola,0491-62455,22.6865,90.6438
Pirojpur,Pirojpur District Hospital,Pirojpur,0461-62455,22.5772,89.9715
Jhalokati,Jhalokati District Sadar Hospital,Jhalokati,0498-63455,22.6423,90.1983
Patuakhali,Patuakhali Medical College Hospital,Patuakhali,0441-62355,22.3551,90.3347
Barguna,Barguna District Sadar Hospital,Barguna,0448-62455,22.1524,90.1207
Lakshmipur,Lakshmipur District Sadar Hospital,Lakshmipur,0381-62455,22.9447,90.8282
Khagrachari,Khagrachari District Sadar Hospital,Khagrachari,0371-62455,23.1116,91.9912
Rangamati,Rangamati General Hospital,Rangamati,0351-62455,22.6533,92.1789
Bandarban,Bandarban District Sadar Hospital,Bandarban,0361-62455,22.1953,92.2184
